8 12
-0.5 -0.5 0.5
0.5 -0.5 0.5
0.5 0.5 0.5
-0.5 0.5 0.5
-0.5 -0.5 -0.5
0.5 -0.5 -0.5
0.5 0.5 -0.5
-0.5 0.5 -0.5
1 2 3
1 3 4
2 6 7
2 7 3
6 5 8
6 8 7
5 1 4
5 4 8
5 6 2
5 2 1
4 3 7
4 7 8
1 0 0
1 0 0
1 0 0
0 0 0
0 0 0
0 0 0
1 0 0
1 0 0
1 0 0
0 0 0
0 0 0
0 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
1 0 0
0 0.0666667 0.137255
0 0.0666667 0.137255
0 0.0666667 0.137255
0 0.0666667 0.137255
0 0.0666667 0.137255
0 0.0666667 0.137255
0.12549 0 0.545098
0.12549 0 0.545098
0.12549 0 0.545098
0.12549 0 0.545098
0.12549 0 0.545098
0.12549 0 0.545098
